index,flow_id,src_ip,dst_ip,src_port,dst_port,total_flow_packets,total_fw_packets,total_bw_packets,flow_duration,flow_down_up_ratio,flow_total_SYN_flag,flow_total_RST_flag,flow_total_PSH_flag,flow_total_ACK_flag,flow_total_URG_flag,flow_total_CWE_flag,flow_total_ECE_flag,flow_total_FIN_flag,flow_start_timestamp,flow_end_timestamp,flow_total_http_get_packets,flow_total_http_2xx_packets,flow_total_http_4xx_packets,flow_total_http_5xx_packets,flow_websocket_packts_per_second,fw_websocket_packts_per_second,bw_websocket_packts_per_second,flow_websocket_bytes_per_second,fw_websocket_bytes_per_second,bw_websocket_bytes_per_second,flow_total_websocket_ping_packets,flow_total_websocket_pong_packets,flow_total_websocket_close_packets,flow_total_websocket_data_messages,flow_total_ocpp16_heartbeat_packets,flow_total_ocpp16_resetHard_packets,flow_total_ocpp16_resetSoft_packets,flow_total_ocpp16_unlockconnector_packets,flow_total_ocpp16_starttransaction_packets,flow_total_ocpp16_remotestarttransaction_packets,flow_total_ocpp16_authorize_not_accepted_packets,flow_total_ocpp16_setchargingprofile_packets,flow_avg_ocpp16_setchargingprofile_limit,flow_max_ocpp16_setchargingprofile_limit,flow_min_ocpp16_setchargingprofile_limit,flow_avg_ocpp16_setchargingprofile_minchargingrate,flow_min_ocpp16_setchargingprofile_minchargingrate,flow_max_ocpp16_setchargingprofile_minchargingrate,flow_total_ocpp16_metervalues,flow_min_ocpp16_metervalues_soc,flow_max_ocpp16_metervalues_soc,flow_avg_ocpp16_metervalues_wh_diff,flow_max_ocpp16_metervalues_wh_diff,flow_min_ocpp16_metervalues_wh_diff,label
0,192.168.21.70-192.168.21.225-80-41424,192.168.21.70,192.168.21.225,80,41424,1718,767,951,119785385.0,1.239895697522816,0,0,957,1718,0,0,0,0,1719312003042388.0,1719312122827773.0,0,0,0,0,7.9892885096e-06,3.9988183867e-06,3.9904701228e-06,0.0006114435412967,0.0003478971996458,0.0002635463416509,0,0,0,957,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
1,192.168.21.225-192.168.21.70-41468-80,192.168.21.225,192.168.21.70,41468,80,1658,954,704,119715671.0,0.7379454926624738,0,0,957,1658,0,0,0,0,1719310683248422.0,1719310802964093.0,0,0,0,0,7.9939409102e-06,3.9927938924e-06,4.0011470177e-06,0.0006114487718153,0.000263524396902,0.0003479243749132,0,0,0,957,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
2,192.168.21.225-192.168.21.70-41340-80,192.168.21.225,192.168.21.70,41340,80,698,400,298,49994985.0,0.745,0,0,401,698,0,0,0,0,1719316443165395.0,1719316493160380.0,0,0,0,0,8.0208044866e-06,4.0004012402e-06,4.0204032464e-06,0.0006133815221666,0.0002640264818561,0.0003493550403105,0,0,0,401,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
3,192.168.21.225-192.168.21.70-41064-80,192.168.21.225,192.168.21.70,41064,80,1689,956,733,119775210.0,0.7667364016736402,0,0,957,1689,0,0,0,0,1719314042991964.0,1719314162767174.0,0,0,0,0,7.989967206e-06,3.9908091165e-06,3.9991580895e-06,0.0006111448270472,0.0002633934016897,0.0003477514253575,0,0,0,957,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
4,192.168.21.225-192.168.21.70-41662-80,192.168.21.225,192.168.21.70,41662,80,1718,957,761,119814991.0,0.7951933124346917,0,0,958,1718,0,0,0,0,1719315123157659.0,1719315242972650.0,0,0,0,0,7.9956605763e-06,3.9894840871e-06,4.0061764892e-06,0.0006109919918117,0.0002633059497538,0.0003476860420579,1,0,0,957,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
5,192.168.21.140-192.168.21.70-47214-80,192.168.21.140,192.168.21.70,47214,80,17,8,9,60819998.0,1.125,0,0,9,17,0,0,0,0,1719306466466027.0,1719306527286025.0,0,0,0,0,8.220980211146999e-08,3.288392084458799e-08,4.9325881266881996e-08,3.6172312929046793e-07,1.9730352506752798e-07,1.6441960422293998e-07,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal
6,192.168.21.225-192.168.21.70-41582-80,192.168.21.225,192.168.21.70,41582,80,1729,956,773,119800199.0,0.8085774058577406,0,0,957,1729,0,0,0,0,1719312123089082.0,1719312242889281.0,0,0,0,0,7.988300587e-06,3.9899766777e-06,3.9983239092e-06,0.0006110173489778,0.0002633384607316,0.0003476788882462,0,0,0,957,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
7,192.168.21.225-192.168.21.70-41166-80,192.168.21.225,192.168.21.70,41166,80,1732,942,790,119803723.0,0.8386411889596603,0,0,963,1732,0,0,0,0,1719315483026658.0,1719315602830381.0,0,0,0,0,8.038147529e-06,3.9898593134e-06,4.0482882155e-06,0.0006153565027357,0.000263330714689,0.0003520257880466,0,0,0,963,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
8,192.168.21.225-192.168.21.70-41566-80,192.168.21.225,192.168.21.70,41566,80,1716,956,760,119741363.0,0.7949790794979079,0,0,957,1716,0,0,0,0,1719308283098237.0,1719308402839600.0,0,0,0,0,7.9922257106e-06,3.9919371888e-06,4.0002885218e-06,0.0006113175778698,0.0002634678544622,0.0003478497234076,0,0,0,957,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
9,192.168.21.225-192.168.21.70-41524-80,192.168.21.225,192.168.21.70,41524,80,1742,953,789,119799403.0,0.8279118572927597,0,0,958,1742,0,0,0,0,1719310203214124.0,1719310323013527.0,0,0,0,0,7.9967009518e-06,3.9900031889e-06,4.0066977629e-06,0.0006117476228157,0.0002633402104683,0.0003484074123474,0,0,0,958,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
