total_flow_packets,total_fw_packets,total_bw_packets,flow_duration,flow_down_up_ratio,flow_total_SYN_flag,flow_total_RST_flag,flow_total_PSH_flag,flow_total_ACK_flag,flow_total_FIN_flag,flow_total_http_get_packets,flow_total_http_2xx_packets,flow_total_http_4xx_packets,flow_websocket_packts_per_second,fw_websocket_packts_per_second,bw_websocket_packts_per_second,flow_websocket_bytes_per_second,fw_websocket_bytes_per_second,bw_websocket_bytes_per_second,flow_total_websocket_ping_packets,flow_total_websocket_pong_packets,flow_total_websocket_close_packets,flow_total_websocket_data_messages,flow_total_ocpp16_heartbeat_packets,flow_total_ocpp16_starttransaction_packets,flow_total_ocpp16_remotestarttransaction_packets,flow_total_ocpp16_authorize_not_accepted_packets,flow_total_ocpp16_setchargingprofile_packets,flow_avg_ocpp16_setchargingprofile_limit,flow_max_ocpp16_setchargingprofile_limit,flow_min_ocpp16_setchargingprofile_limit,flow_avg_ocpp16_setchargingprofile_minchargingrate,flow_min_ocpp16_setchargingprofile_minchargingrate,flow_max_ocpp16_setchargingprofile_minchargingrate,flow_total_ocpp16_metervalues,flow_avg_ocpp16_metervalues_wh_diff,flow_max_ocpp16_metervalues_wh_diff,flow_min_ocpp16_metervalues_wh_diff,label,label_bin
126,61,65,118.750868,1.0655737704918034,0,0,65,126,0,0,0,0,5.473644201068072e-07,2.694717145141205e-07,2.778927055926867e-07,5.66059020301e-05,4.70901821113e-05,9.5157199187e-06,5,4,0,56,0,4,4,4,0,0.0,0,0,0.0,0,0,8,0.0,0,0,cyberattack_ocpp16_doc_idtag,1
115,52,63,107.903804,1.2115384615384617,0,0,63,115,0,0,0,0,5.83853373695704e-07,2.872929299137592e-07,2.965604437819449e-07,6.23240307635e-05,5.13976319129e-05,1.09263988505e-05,4,4,0,55,0,5,3,4,0,0.0,0,0,0.0,0,0,8,0.0,0,0,cyberattack_ocpp16_doc_idtag,1
1670,943,727,119.755451,0.7709437963944857,0,0,963,1670,0,0,0,0,8.0413876108e-06,3.9914675783e-06,4.0499200324e-06,0.0006156045456335,0.0002634368601726,0.0003521676854609,0,0,0,963,479,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat,1
1652,956,696,119.741128,0.7280334728033473,0,0,959,1652,0,0,0,0,8.0089440947e-06,3.9919450232e-06,4.0169990715e-06,0.0006127719124209,0.0002634683715356,0.0003493035408853,0,0,0,959,479,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat,1
50,25,25,119.95041,1.0,0,0,24,50,0,0,0,0,2.0008268416923295e-07,1.0004134208461649e-07,1.0004134208461649e-07,3.40474034227e-05,4.2851041526e-06,2.97622992701e-05,4,4,0,16,2,0,0,0,6,10.0,10,10,3.0,3,3,0,0.0,0,0,normal,0
1681,945,736,119.807181,0.7788359788359789,0,0,962,1681,0,0,0,0,8.0295687785e-06,3.9897441539e-06,4.0398246245e-06,0.0006146125748505,0.0002633231141629,0.0003512894606876,0,0,0,962,479,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat,1
45,22,23,114.255078,1.0454545454545454,0,0,23,45,0,0,0,0,2.0130396305011493e-07,9.627580841527237e-08,1.0502815463484257e-07,3.01255756877e-05,3.868537029e-06,2.62570386587e-05,5,4,0,14,2,0,0,0,5,10.0,10,10,3.0,3,3,0,0.0,0,0,normal,0
1722,947,775,119.748825,0.8183738120380147,0,0,961,1722,0,0,0,0,8.0251309355e-06,3.9916884361e-06,4.0334424993e-06,0.0006141855671652,0.0002634514367886,0.0003507341303766,0,0,0,961,479,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat,1
11,6,5,0.021725,0.8333333333333334,3,0,2,9,2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,cyberattack_ocpp16_unauthorized_access,1
37,19,18,25.005029,0.9473684210526316,0,0,18,37,2,0,0,0,7.198551939291893e-07,3.5992759696459464e-07,3.5992759696459464e-07,0.0001024593892692,5.15496302763e-05,5.09097589928e-05,1,1,2,14,1,0,0,0,3,90.0,90,90,3.0,3,3,0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile,1
47,23,24,119.952749,1.0434782608695652,0,0,24,47,0,0,0,0,2.0007878268800657e-07,1.0003939134400328e-07,1.0003939134400328e-07,3.40467395207e-05,4.2850205959e-06,2.97617189248e-05,4,4,0,16,2,0,0,0,6,10.0,10,10,3.0,3,3,0,0.0,0,0,normal,0
