label_bin,Feature,Value
1,total_flow_packets,126.0
1,total_flow_packets,115.0
1,total_flow_packets,1670.0
1,total_flow_packets,1652.0
0,total_flow_packets,50.0
1,total_flow_packets,1681.0
0,total_flow_packets,45.0
1,total_flow_packets,1722.0
1,total_flow_packets,11.0
1,total_flow_packets,37.0
0,total_flow_packets,47.0
1,total_flow_packets,11.0
1,total_flow_packets,41.0
1,total_flow_packets,125.0
1,total_flow_packets,41.0
1,total_flow_packets,65.0
1,total_flow_packets,127.0
1,total_flow_packets,1659.0
1,total_flow_packets,41.0
1,total_flow_packets,41.0
1,total_flow_packets,1731.0
1,total_flow_packets,4.0
1,total_flow_packets,122.0
1,total_flow_packets,1697.0
1,total_flow_packets,11.0
0,total_flow_packets,49.0
1,total_flow_packets,100.0
1,total_flow_packets,1710.0
0,total_flow_packets,14.0
1,total_flow_packets,40.0
0,total_flow_packets,64.0
1,total_flow_packets,124.0
0,total_flow_packets,49.0
1,total_flow_packets,124.0
1,total_flow_packets,51.0
1,total_flow_packets,11.0
1,total_flow_packets,11.0
1,total_flow_packets,41.0
0,total_flow_packets,49.0
1,total_flow_packets,701.0
1,total_flow_packets,48.0
1,total_flow_packets,1699.0
1,total_flow_packets,6.0
1,total_flow_packets,11.0
0,total_flow_packets,48.0
1,total_flow_packets,11.0
1,total_flow_packets,11.0
1,total_flow_packets,11.0
1,total_flow_packets,11.0
1,total_flow_packets,131.0
1,total_flow_packets,45.0
0,total_flow_packets,47.0
1,total_flow_packets,123.0
1,total_flow_packets,124.0
1,total_flow_packets,1727.0
1,total_flow_packets,92.0
1,total_flow_packets,1688.0
1,total_flow_packets,40.0
1,total_flow_packets,123.0
1,total_flow_packets,11.0
0,total_flow_packets,48.0
0,total_flow_packets,48.0
1,total_flow_packets,11.0
1,total_flow_packets,45.0
1,total_flow_packets,129.0
1,total_flow_packets,11.0
1,total_flow_packets,45.0
1,total_flow_packets,53.0
1,total_flow_packets,41.0
0,total_flow_packets,48.0
1,total_flow_packets,46.0
1,total_flow_packets,11.0
1,total_flow_packets,128.0
1,total_flow_packets,1709.0
1,total_flow_packets,120.0
1,total_flow_packets,123.0
1,total_flow_packets,11.0
1,total_flow_packets,129.0
0,total_flow_packets,49.0
1,total_flow_packets,1731.0
1,total_flow_packets,41.0
0,total_flow_packets,49.0
0,total_flow_packets,49.0
1,total_flow_packets,40.0
0,total_flow_packets,49.0
1,total_flow_packets,1663.0
1,total_flow_packets,124.0
1,total_flow_packets,1714.0
0,total_flow_packets,46.0
1,total_flow_packets,105.0
