Technique,Train Class 0,% class 0 in train,Recall (Class 1),Recall (Class 0),# class 0 before resampling,# Class 0 after resampling,# Class 1 after resampling,Balanced Accuracy,ROC AUC
ADASYN,5% (10),5,0.9971098265895953,0.872093023255814,10,806,806,0.9346014249227046,0.9346014249227047
ADASYN,10% (20),10,0.9971098265895953,0.9302325581395349,20,807,806,0.9636711923645651,0.9636711923645651
ADASYN,25% (50),25,0.9942196531791907,0.9651162790697675,50,807,806,0.9796679661244792,0.9867925796478022
ADASYN,50% (100),50,0.9942196531791907,0.9767441860465116,100,805,806,0.9854819196128511,0.9868597929829279
ADASYN,75% (150),75,0.9942196531791907,0.9883720930232558,150,806,806,0.9912958731012232,0.9926401398037371
ADASYN,100% (201),100,0.9942196531791907,0.9883720930232558,201,807,806,0.9912958731012232,0.9926737464713
None,5% (10),5,0.9971098265895953,0.627906976744186,10,10,806,0.8125084016668906,0.9284177980911412
None,10% (20),10,0.9971098265895953,0.8488372093023255,20,20,806,0.9229735179459604,0.9632006990186852
None,25% (50),25,0.9971098265895953,0.8953488372093024,50,50,806,0.9462293318994488,0.9865741363086438
None,50% (100),50,0.9971098265895953,0.9069767441860465,100,100,806,0.9520432853878209,0.9866749563113322
None,75% (150),75,0.9971098265895953,0.9418604651162791,150,150,806,0.9694851458529372,0.9924721064659229
None,100% (201),100,0.9971098265895953,0.9418604651162791,201,201,806,0.9694851458529372,0.9924553031321415
SMOTE,5% (10),5,0.9971098265895953,0.872093023255814,10,806,806,0.9346014249227046,0.9345846215889232
SMOTE,10% (20),10,0.9971098265895953,0.9302325581395349,20,806,806,0.9636711923645651,0.9636543890307837
SMOTE,25% (50),25,0.9942196531791907,0.9767441860465116,50,806,806,0.9854819196128511,0.9868261863153651
SMOTE,50% (100),50,0.9971098265895953,0.9767441860465116,100,806,806,0.9869270063180535,0.9868093829815835
SMOTE,75% (150),75,0.9942196531791907,0.9767441860465116,150,806,806,0.9854819196128511,0.9925729264686114
SMOTE,100% (201),100,0.9942196531791907,0.9767441860465116,201,806,806,0.9854819196128511,0.9926065331361742
SMOTE+ENN,5% (10),5,0.9971098265895953,0.872093023255814,10,806,803,0.9346014249227046,0.9345846215889232
SMOTE+ENN,10% (20),10,0.9971098265895953,0.9302325581395349,20,806,800,0.9636711923645651,0.9636543890307837
SMOTE+ENN,25% (50),25,0.9942196531791907,0.9651162790697675,50,802,800,0.9796679661244792,0.9854147062777255
SMOTE+ENN,50% (100),50,0.9942196531791907,0.9767441860465116,100,806,800,0.9854819196128511,0.9853138862750369
SMOTE+ENN,75% (150),75,0.9942196531791907,0.9767441860465116,150,806,800,0.9854819196128511,0.9911614464309719
SMOTE+ENN,100% (201),100,0.9942196531791907,0.9651162790697675,201,802,800,0.9796679661244792,0.9925729264686114
SMOTE+TomekLinks,5% (10),5,0.9971098265895953,0.872093023255814,10,806,806,0.9346014249227046,0.9345846215889232
SMOTE+TomekLinks,10% (20),10,0.9971098265895953,0.9302325581395349,20,806,806,0.9636711923645651,0.9636543890307837
SMOTE+TomekLinks,25% (50),25,0.9942196531791907,0.9767441860465116,50,806,806,0.9854819196128511,0.9868261863153651
SMOTE+TomekLinks,50% (100),50,0.9971098265895953,0.9767441860465116,100,806,806,0.9869270063180535,0.9868093829815835
SMOTE+TomekLinks,75% (150),75,0.9942196531791907,0.9767441860465116,150,806,806,0.9854819196128511,0.9925729264686114
SMOTE+TomekLinks,100% (201),100,0.9942196531791907,0.9767441860465116,201,806,806,0.9854819196128511,0.9926065331361742
