% class 0 in train,Technique,Balanced Accuracy,ROC AUC,Accuracy,Precision (Class 0),Precision (Class 1),Recall (Class 0),Recall (Class 1),F1 (Class 0),F1 (Class 1),# Class 0 after resampling,# Class 1 after resampling,# class 0 before resampling,Train Class 0
5,None,0.8125084016668906,0.9284177980911412,0.9236111111111112,0.9818181818181818,0.9151193633952255,0.627906976744186,0.9971098265895953,0.7659574468085106,0.9543568464730291,10,806,10,5% (10)
5,SMOTE,0.9346014249227046,0.9345846215889232,0.9722222222222222,0.9868421052631579,0.9691011235955056,0.872093023255814,0.9971098265895953,0.9259259259259259,0.9829059829059829,806,806,10,5% (10)
5,ADASYN,0.9346014249227046,0.9346014249227047,0.9722222222222222,0.9868421052631579,0.9691011235955056,0.872093023255814,0.9971098265895953,0.9259259259259259,0.9829059829059829,806,806,10,5% (10)
5,SMOTE+TomekLinks,0.9346014249227046,0.9345846215889232,0.9722222222222222,0.9868421052631579,0.9691011235955056,0.872093023255814,0.9971098265895953,0.9259259259259259,0.9829059829059829,806,806,10,5% (10)
5,SMOTE+ENN,0.9346014249227046,0.9345846215889232,0.9722222222222222,0.9868421052631579,0.9691011235955056,0.872093023255814,0.9971098265895953,0.9259259259259259,0.9829059829059829,806,803,10,5% (10)
5,RUS,0.6010216426939105,0.8343023255813955,0.3888888888888889,0.23976608187134502,0.9555555555555556,0.9534883720930233,0.24855491329479767,0.38317757009345793,0.3944954128440367,10,10,10,5% (10)
5,NearMiss-1,0.6228323699421965,0.6052896894743918,0.3958333333333333,0.2478386167146974,1.0,1.0,0.24566473988439305,0.3972286374133949,0.39443155452436196,10,10,10,5% (10)
5,NearMiss-2,0.7173007124613524,0.7272650893937357,0.7361111111111112,0.4041095890410959,0.9055944055944056,0.686046511627907,0.7485549132947977,0.5086206896551724,0.819620253164557,10,10,10,5% (10)
5,NearMiss-3,0.7173007124613524,0.7780783707487565,0.7361111111111112,0.4041095890410959,0.9055944055944056,0.686046511627907,0.7485549132947977,0.5086206896551724,0.819620253164557,10,10,10,5% (10)
10,None,0.9229735179459604,0.9632006990186852,0.9675925925925926,0.9864864864864865,0.9636871508379888,0.8488372093023255,0.9971098265895953,0.9125,0.9801136363636364,20,806,20,10% (20)
10,SMOTE,0.9636711923645651,0.9636543890307837,0.9837962962962963,0.9876543209876543,0.9829059829059829,0.9302325581395349,0.9971098265895953,0.9580838323353293,0.9899569583931134,806,806,20,10% (20)
10,ADASYN,0.9636711923645651,0.9636711923645651,0.9837962962962963,0.9876543209876543,0.9829059829059829,0.9302325581395349,0.9971098265895953,0.9580838323353293,0.9899569583931134,807,806,20,10% (20)
10,SMOTE+TomekLinks,0.9636711923645651,0.9636543890307837,0.9837962962962963,0.9876543209876543,0.9829059829059829,0.9302325581395349,0.9971098265895953,0.9580838323353293,0.9899569583931134,806,806,20,10% (20)
10,SMOTE+ENN,0.9636711923645651,0.9636543890307837,0.9837962962962963,0.9876543209876543,0.9829059829059829,0.9302325581395349,0.9971098265895953,0.9580838323353293,0.9899569583931134,806,800,20,10% (20)
10,RUS,0.8117690549805081,0.8873840569969081,0.7754629629629629,0.4658385093167702,0.959409594095941,0.872093023255814,0.7514450867052023,0.6072874493927125,0.8427876823338736,20,20,20,10% (20)
10,NearMiss-1,0.6228323699421965,0.888291437021105,0.3958333333333333,0.2478386167146974,1.0,1.0,0.24566473988439305,0.3972286374133949,0.39443155452436196,20,20,20,10% (20)
10,NearMiss-2,0.5908388224223686,0.7200060492001612,0.38657407407407407,0.2359882005899705,0.9354838709677419,0.9302325581395349,0.2514450867052023,0.3764705882352941,0.39635535307517084,20,20,20,10% (20)
10,NearMiss-3,0.6846014249227046,0.857810189541605,0.5717592592592593,0.30120481927710846,0.9398907103825137,0.872093023255814,0.49710982658959535,0.44776119402985076,0.6502835538752363,20,13,20,10% (20)
25,None,0.9462293318994488,0.9865741363086438,0.9768518518518519,0.9871794871794872,0.9745762711864406,0.8953488372093024,0.9971098265895953,0.9390243902439024,0.9857142857142858,50,806,50,25% (50)
25,SMOTE,0.9854819196128511,0.9868261863153651,0.9907407407407407,0.9767441860465116,0.9942196531791907,0.9767441860465116,0.9942196531791907,0.9767441860465116,0.9942196531791907,806,806,50,25% (50)
25,ADASYN,0.9796679661244792,0.9867925796478022,0.9884259259259259,0.9764705882352941,0.9913544668587896,0.9651162790697675,0.9942196531791907,0.9707602339181286,0.9927849927849928,807,806,50,25% (50)
25,SMOTE+TomekLinks,0.9854819196128511,0.9868261863153651,0.9907407407407407,0.9767441860465116,0.9942196531791907,0.9767441860465116,0.9942196531791907,0.9767441860465116,0.9942196531791907,806,806,50,25% (50)
25,SMOTE+ENN,0.9796679661244792,0.9854147062777255,0.9884259259259259,0.9764705882352941,0.9913544668587896,0.9651162790697675,0.9942196531791907,0.9707602339181286,0.9927849927849928,802,800,50,25% (50)
25,RUS,0.9520432853878209,0.9865069229735179,0.9791666666666666,0.9873417721518988,0.9773371104815864,0.9069767441860465,0.9971098265895953,0.9454545454545454,0.9871244635193133,50,50,50,25% (50)
25,NearMiss-1,0.7369270063180535,0.8332269122193843,0.5925925925925926,0.32558139534883723,0.9885057471264368,0.9767441860465116,0.49710982658959535,0.4883720930232558,0.6615384615384615,50,50,50,25% (50)
25,NearMiss-2,0.8292109154456244,0.862783976340906,0.7824074074074074,0.47560975609756095,0.9701492537313433,0.9069767441860465,0.7514450867052023,0.624,0.8469055374592834,50,50,50,25% (50)
25,NearMiss-3,0.8263207420352198,0.9398944750638526,0.7777777777777778,0.46987951807228917,0.9699248120300752,0.9069767441860465,0.7456647398843931,0.6190476190476191,0.8431372549019608,50,17,50,25% (50)
50,None,0.9520432853878209,0.9866749563113322,0.9791666666666666,0.9873417721518988,0.9773371104815864,0.9069767441860465,0.9971098265895953,0.9454545454545454,0.9871244635193133,100,806,100,50% (100)
50,SMOTE,0.9869270063180535,0.9868093829815835,0.9930555555555556,0.9882352941176471,0.9942363112391931,0.9767441860465116,0.9971098265895953,0.9824561403508771,0.9956709956709957,806,806,100,50% (100)
50,ADASYN,0.9854819196128511,0.9868597929829279,0.9907407407407407,0.9767441860465116,0.9942196531791907,0.9767441860465116,0.9942196531791907,0.9767441860465116,0.9942196531791907,805,806,100,50% (100)
50,SMOTE+TomekLinks,0.9869270063180535,0.9868093829815835,0.9930555555555556,0.9882352941176471,0.9942363112391931,0.9767441860465116,0.9971098265895953,0.9824561403508771,0.9956709956709957,806,806,100,50% (100)
50,SMOTE+ENN,0.9854819196128511,0.9853138862750369,0.9907407407407407,0.9767441860465116,0.9942196531791907,0.9767441860465116,0.9942196531791907,0.9767441860465116,0.9942196531791907,806,800,100,50% (100)
50,RUS,0.9622261056593628,0.9917999731146661,0.9814814814814815,0.975609756097561,0.9828571428571429,0.9302325581395349,0.9942196531791907,0.9523809523809523,0.9885057471264368,100,100,100,50% (100)
50,NearMiss-1,0.7354819196128511,0.8536093560962494,0.5902777777777778,0.32432432432432434,0.9884393063583815,0.9767441860465116,0.49421965317919075,0.48695652173913045,0.6589595375722543,100,100,100,50% (100)
50,NearMiss-2,0.8408388224223686,0.8688331765022181,0.7870370370370371,0.4819277108433735,0.9774436090225563,0.9302325581395349,0.7514450867052023,0.6349206349206349,0.8496732026143791,100,100,100,50% (100)
50,NearMiss-3,0.9505981986826186,0.9601929022718108,0.9768518518518519,0.975,0.9772727272727273,0.9069767441860465,0.9942196531791907,0.9397590361445783,0.9856733524355301,100,23,100,50% (100)
75,None,0.9694851458529372,0.9924721064659229,0.9861111111111112,0.9878048780487805,0.9857142857142858,0.9418604651162791,0.9971098265895953,0.9642857142857143,0.9913793103448276,150,806,150,75% (150)
75,SMOTE,0.9854819196128511,0.9925729264686114,0.9907407407407407,0.9767441860465116,0.9942196531791907,0.9767441860465116,0.9942196531791907,0.9767441860465116,0.9942196531791907,806,806,150,75% (150)
75,ADASYN,0.9912958731012232,0.9926401398037371,0.9930555555555556,0.9770114942528736,0.9971014492753624,0.9883720930232558,0.9942196531791907,0.9826589595375722,0.9956584659913169,806,806,150,75% (150)
