Technique,Train Class 0,% class 0 in train,F1 (Class 1),F1 (Class 0),# class 0 before resampling,# Class 0 after resampling,# Class 1 after resampling,Balanced Accuracy,ROC AUC
NearMiss-1,5% (10),5,0.39443155452436196,0.3972286374133949,10,10,10,0.6228323699421965,0.6052896894743918
NearMiss-1,10% (20),10,0.39443155452436196,0.3972286374133949,20,20,20,0.6228323699421965,0.888291437021105
NearMiss-1,25% (50),25,0.6615384615384615,0.4883720930232558,50,50,50,0.7369270063180535,0.8332269122193843
NearMiss-1,50% (100),50,0.6589595375722543,0.48695652173913045,100,100,100,0.7354819196128511,0.8536093560962494
NearMiss-1,75% (150),75,0.6628131021194605,0.4927536231884058,150,150,150,0.7427409598064256,0.8682618631536496
NearMiss-1,100% (201),100,0.8533772652388797,0.6536964980544747,201,201,201,0.8626495496706547,0.9781556660841512
NearMiss-2,5% (10),5,0.819620253164557,0.5086206896551724,10,10,10,0.7173007124613524,0.7272650893937357
NearMiss-2,10% (20),10,0.39635535307517084,0.3764705882352941,20,20,20,0.5908388224223686,0.7200060492001612
NearMiss-2,25% (50),25,0.8469055374592834,0.624,50,50,50,0.8292109154456244,0.862783976340906
NearMiss-2,50% (100),50,0.8496732026143791,0.6349206349206349,100,100,100,0.8408388224223686,0.8688331765022181
NearMiss-2,75% (150),75,0.39814814814814814,0.39814814814814814,150,150,150,0.6242774566473989,0.7251646726710579
NearMiss-2,100% (201),100,0.3972286374133949,0.39443155452436196,201,201,201,0.6184635031590268,0.7281052560828069
NearMiss-3,5% (10),5,0.819620253164557,0.5086206896551724,10,10,10,0.7173007124613524,0.7780783707487565
NearMiss-3,10% (20),10,0.6502835538752363,0.44776119402985076,20,20,13,0.6846014249227046,0.857810189541605
NearMiss-3,25% (50),25,0.8431372549019608,0.6190476190476191,50,50,17,0.8263207420352198,0.9398944750638526
NearMiss-3,50% (100),50,0.9856733524355301,0.9397590361445783,100,100,23,0.9505981986826186,0.9601929022718108
NearMiss-3,75% (150),75,0.9927849927849928,0.9707602339181286,150,150,31,0.9796679661244792,0.9864061029708294
NearMiss-3,100% (201),100,0.9913544668587896,0.9647058823529412,201,201,31,0.973854012636107,0.9893466863825784
RUS,5% (10),5,0.3944954128440367,0.38317757009345793,10,10,10,0.6010216426939105,0.8343023255813955
RUS,10% (20),10,0.8427876823338736,0.6072874493927125,20,20,20,0.8117690549805081,0.8873840569969081
RUS,25% (50),25,0.9871244635193133,0.9454545454545454,50,50,50,0.9520432853878209,0.9865069229735179
RUS,50% (100),50,0.9885057471264368,0.9523809523809523,100,100,100,0.9622261056593628,0.9917999731146661
RUS,75% (150),75,0.9956709956709957,0.9824561403508771,150,150,150,0.9869270063180535,0.9982692566205136
RUS,100% (201),100,0.9942363112391931,0.9764705882352941,201,201,201,0.9811130528296814,0.9979835999462293
