Technique,Train Class 0,% class 0 in train,Recall (Class 1),Recall (Class 0),# class 0 before resampling,# Class 0 after resampling,# Class 1 after resampling,Balanced Accuracy,ROC AUC
NearMiss-1,5% (10),5,0.24566473988439305,1.0,10,10,10,0.6228323699421965,0.6052896894743918
NearMiss-1,10% (20),10,0.24566473988439305,1.0,20,20,20,0.6228323699421965,0.888291437021105
NearMiss-1,25% (50),25,0.49710982658959535,0.9767441860465116,50,50,50,0.7369270063180535,0.8332269122193843
NearMiss-1,50% (100),50,0.49421965317919075,0.9767441860465116,100,100,100,0.7354819196128511,0.8536093560962494
NearMiss-1,75% (150),75,0.49710982658959535,0.9883720930232558,150,150,150,0.7427409598064256,0.8682618631536496
NearMiss-1,100% (201),100,0.7485549132947977,0.9767441860465116,201,201,201,0.8626495496706547,0.9781556660841512
NearMiss-2,5% (10),5,0.7485549132947977,0.686046511627907,10,10,10,0.7173007124613524,0.7272650893937357
NearMiss-2,10% (20),10,0.2514450867052023,0.9302325581395349,20,20,20,0.5908388224223686,0.7200060492001612
NearMiss-2,25% (50),25,0.7514450867052023,0.9069767441860465,50,50,50,0.8292109154456244,0.862783976340906
NearMiss-2,50% (100),50,0.7514450867052023,0.9302325581395349,100,100,100,0.8408388224223686,0.8688331765022181
NearMiss-2,75% (150),75,0.24855491329479767,1.0,150,150,150,0.6242774566473989,0.7251646726710579
NearMiss-2,100% (201),100,0.24855491329479767,0.9883720930232558,201,201,201,0.6184635031590268,0.7281052560828069
NearMiss-3,5% (10),5,0.7485549132947977,0.686046511627907,10,10,10,0.7173007124613524,0.7780783707487565
NearMiss-3,10% (20),10,0.49710982658959535,0.872093023255814,20,20,13,0.6846014249227046,0.857810189541605
NearMiss-3,25% (50),25,0.7456647398843931,0.9069767441860465,50,50,17,0.8263207420352198,0.9398944750638526
NearMiss-3,50% (100),50,0.9942196531791907,0.9069767441860465,100,100,23,0.9505981986826186,0.9601929022718108
NearMiss-3,75% (150),75,0.9942196531791907,0.9651162790697675,150,150,31,0.9796679661244792,0.9864061029708294
NearMiss-3,100% (201),100,0.9942196531791907,0.9534883720930233,201,201,31,0.973854012636107,0.9893466863825784
RUS,5% (10),5,0.24855491329479767,0.9534883720930233,10,10,10,0.6010216426939105,0.8343023255813955
RUS,10% (20),10,0.7514450867052023,0.872093023255814,20,20,20,0.8117690549805081,0.8873840569969081
RUS,25% (50),25,0.9971098265895953,0.9069767441860465,50,50,50,0.9520432853878209,0.9865069229735179
RUS,50% (100),50,0.9942196531791907,0.9302325581395349,100,100,100,0.9622261056593628,0.9917999731146661
RUS,75% (150),75,0.9971098265895953,0.9767441860465116,150,150,150,0.9869270063180535,0.9982692566205136
RUS,100% (201),100,0.9971098265895953,0.9651162790697675,201,201,201,0.9811130528296814,0.9979835999462293
