flow_id,src_ip,dst_ip,src_port,dst_port,total_flow_packets,total_fw_packets,total_bw_packets,flow_duration,flow_down_up_ratio,flow_total_SYN_flag,flow_total_RST_flag,flow_total_PSH_flag,flow_total_ACK_flag,flow_total_URG_flag,flow_total_CWE_flag,flow_total_ECE_flag,flow_total_FIN_flag,flow_start_timestamp,flow_end_timestamp,flow_total_http_get_packets,flow_total_http_2xx_packets,flow_total_http_4xx_packets,flow_total_http_5xx_packets,flow_websocket_packts_per_second,fw_websocket_packts_per_second,bw_websocket_packts_per_second,flow_websocket_bytes_per_second,fw_websocket_bytes_per_second,bw_websocket_bytes_per_second,flow_total_websocket_ping_packets,flow_total_websocket_pong_packets,flow_total_websocket_close_packets,flow_total_websocket_data_messages,flow_total_ocpp16_heartbeat_packets,flow_total_ocpp16_resetHard_packets,flow_total_ocpp16_resetSoft_packets,flow_total_ocpp16_unlockconnector_packets,flow_total_ocpp16_starttransaction_packets,flow_total_ocpp16_remotestarttransaction_packets,flow_total_ocpp16_authorize_not_accepted_packets,flow_total_ocpp16_setchargingprofile_packets,flow_avg_ocpp16_setchargingprofile_limit,flow_max_ocpp16_setchargingprofile_limit,flow_min_ocpp16_setchargingprofile_limit,flow_avg_ocpp16_setchargingprofile_minchargingrate,flow_min_ocpp16_setchargingprofile_minchargingrate,flow_max_ocpp16_setchargingprofile_minchargingrate,flow_total_ocpp16_metervalues,flow_min_ocpp16_metervalues_soc,flow_max_ocpp16_metervalues_soc,flow_avg_ocpp16_metervalues_wh_diff,flow_max_ocpp16_metervalues_wh_diff,flow_min_ocpp16_metervalues_wh_diff,label
192.168.21.225-192.168.21.70-41354-80,192.168.21.225,192.168.21.70,41354,80,1741,946,795,119771700.0,0.8403805496828752,0,0,965,1741,0,0,0,0,1719308763176275.0,1719308882947975.0,0,0,0,0,8.0569950998e-06,3.9909260701e-06,4.0660690296e-06,0.0006162975060051,0.000263401120632,0.0003528963853731,1,0,0,964,479,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
192.168.21.225-192.168.21.70-41086-80,192.168.21.225,192.168.21.70,41086,80,1730,956,774,119816465.0,0.8096234309623431,0,0,957,1730,0,0,0,0,1719309842905036.0,1719309962721501.0,0,0,0,0,7.9872161142e-06,3.9894350079e-06,3.9977811062e-06,0.0006109343987072,0.0002633027105248,0.0003476316881824,0,0,0,957,479,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
192.168.21.140-192.168.21.70-47214-80,192.168.21.140,192.168.21.70,47214,80,15,9,6,60328640.0,0.6666666666666666,0,0,10,15,0,0,0,0,1719315352175043.0,1719315412503683.0,0,0,0,0,8.287937536798443e-08,3.315175014719377e-08,4.9727625220790655e-08,3.6466925161913146e-07,1.9891050088316265e-07,1.6575875073596886e-07,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,normal
192.168.21.225-192.168.21.70-41110-80,192.168.21.225,192.168.21.70,41110,80,1719,950,769,119623167.0,0.8094736842105263,0,0,957,1719,0,0,0,0,1719306963083041.0,1719307082706208.0,0,0,0,0,8.0001225849e-06,3.9875219153e-06,4.0126006695e-06,0.0006114200270253,0.0002631764464152,0.0003482435806101,1,0,0,956,478,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
192.168.21.128-192.168.21.70-42252-80,192.168.21.128,192.168.21.70,42252,80,48,23,25,99956627.0,1.0869565217391304,0,0,25,48,0,0,0,0,1682527626148077.0,1682527726104704.0,0,0,0,0,2.501084795508357e-07,1.200520701844011e-07,1.300564093664345e-07,3.46350222481e-05,4.5419699886e-06,3.00930522595e-05,6,5,0,14,2,0,0,0,0,0,0,5,10.0,10,10,3.0,3,3,0,0.0,0.0,0.0,0,0,normal
192.168.21.225-192.168.21.70-41464-80,192.168.21.225,192.168.21.70,41464,80,1646,948,698,119770543.0,0.7362869198312236,0,0,963,1646,0,0,0,0,1719311883220661.0,1719312002991204.0,0,0,0,0,8.0403743347e-06,3.990964623e-06,4.0494097117e-06,0.0006155269747754,0.0002634036651232,0.0003521233096521,0,0,0,963,479,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
192.168.21.140-192.168.21.70-47214-80,192.168.21.140,192.168.21.70,47214,80,17,8,9,60112495.0,1.125,0,0,9,17,0,0,0,0,1719309948382638.0,1719310008495133.0,0,0,0,0,8.31773826722714e-08,3.3270953068908554e-08,4.990642960336282e-08,3.659804837579941e-07,1.9962571841345129e-07,1.663547653445428e-07,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,normal
192.168.21.128-192.168.21.70-40372-80,192.168.21.128,192.168.21.70,40372,80,4,2,2,2308.0,1.0,3,1,0,1,0,0,0,0,1682654172844617.0,1682654172846925.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,normal
192.168.21.128-192.168.21.70-43848-80,192.168.21.128,192.168.21.70,43848,80,53,26,27,116586540.0,1.0384615384615383,0,0,27,53,0,0,0,0,1682551146623463.0,1682551263210003.0,0,0,0,0,2.315876258099777e-07,1.115051531677671e-07,1.200824726422107e-07,3.51841644841e-05,4.4773607656e-06,3.07068037185e-05,6,5,0,16,2,0,0,0,0,0,0,6,10.0,10,10,3.0,3,3,0,0.0,0.0,0.0,0,0,normal
192.168.21.140-192.168.21.70-47214-80,192.168.21.140,192.168.21.70,47214,80,14,7,7,60244822.0,1.0,0,0,9,14,0,0,0,0,1719314991943939.0,1719315052188761.0,0,0,0,0,8.29946845888266e-08,3.319787383553063e-08,4.9796810753295945e-08,3.6517661219083693e-07,1.9918724301318378e-07,1.659893691776532e-07,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,normal
